"asset_id","timestamp","wind_speed","power","air_temperature"
101,2035-08-01 12:40:00.000 -0300,12.644444,2132.5422,27.179195
101,2035-08-01 12:50:00.000 -0300,11.514078,2091.062,27.265932
101,2035-08-01 13:00:00.000 -0300,11.157053,2096.6882,26.903322
101,2035-08-01 13:10:00.000 -0300,10.932837,2042.0979,26.737757
101,2035-08-01 13:20:00.000 -0300,11.201359,2212.8167,26.674833
101,2035-08-01 13:30:00.000 -0300,10.061516,1779.5425,26.791418
101,2035-08-01 13:40:00.000 -0300,9.574068,1702.2915,27.069544
101,2035-08-01 13:50:00.000 -0300,10.6154375,1967.0796,27.153624
101,2035-08-01 14:00:00.000 -0300,9.654132,1642.969,27.207327
101,2035-08-01 14:10:00.000 -0300,8.793107,1419.5813,27.285706
101,2035-08-01 14:20:00.000 -0300,8.593394,1315.3901,27.755621
101,2035-08-01 14:30:00.000 -0300,7.9879694,1064.3165,28.402025
101,2035-08-01 14:40:00.000 -0300,9.842109,1712.7974,28.708546
101,2035-08-01 14:50:00.000 -0300,8.413463,1292.5732,28.952652
101,2035-08-01 15:00:00.000 -0300,8.117636,1083.5189,29.204937
101,2035-08-01 15:10:00.000 -0300,7.6670866,1080.9877,29.441118
101,2035-08-01 15:20:00.000 -0300,6.0447345,491.3921,29.5512
101,2035-08-01 15:30:00.000 -0300,8.282245,1172.9207,29.048279
101,2035-08-01 15:40:00.000 -0300,8.640932,1306.9939,28.649378
101,2035-08-01 15:50:00.000 -0300,8.412747,1201.2773,28.459198
101,2035-08-01 16:00:00.000 -0300,9.34669,1539.6028,28.257038
101,2035-08-01 16:10:00.000 -0300,8.712132,1274.3431,28.160517
101,2035-08-01 16:20:00.000 -0300,7.5813155,948.6228,28.665781
101,2035-08-01 16:30:00.000 -0300,7.259539,806.7611,29.099483
101,2035-08-01 16:40:00.000 -0300,7.532182,896.1674,29.39906
101,2035-08-01 16:50:00.000 -0300,7.304648,831.1462,29.547335
101,2035-08-01 17:00:00.000 -0300,8.428122,1177.2333,29.590754
101,2035-08-01 17:10:00.000 -0300,8.62718,1219.8839,29.504864
101,2035-08-01 17:20:00.000 -0300,7.30337,830.8998,29.566786
101,2035-08-01 17:30:00.000 -0300,5.891232,395.00165,29.69943
101,2035-08-01 17:40:00.000 -0300,7.229856,759.4896,29.620205
101,2035-08-01 17:50:00.000 -0300,7.6653953,844.23676,29.411446
101,2035-08-01 18:00:00.000 -0300,8.115639,992.1072,29.166302
101,2035-08-01 18:10:00.000 -0300,7.593275,786.89374,28.934893
101,2035-08-01 18:20:00.000 -0300,7.1372037,659.3923,28.260578
101,2035-08-01 18:30:00.000 -0300,7.3463697,717.68646,27.75307
101,2035-08-01 18:40:00.000 -0300,7.7534475,863.30237,27.410788
101,2035-08-01 18:50:00.000 -0300,7.883582,914.4653,27.309168
101,2035-08-01 19:00:00.000 -0300,7.9724655,1011.0071,27.478209
101,2035-08-01 19:10:00.000 -0300,8.496181,1154.7551,27.499996
101,2035-08-01 19:20:00.000 -0300,8.898567,1276.9303,27.499996
101,2035-08-01 19:30:00.000 -0300,9.416248,1493.3959,27.49891
101,2035-08-01 19:40:00.000 -0300,9.673105,1603.2073,27.49945
101,2035-08-01 19:50:00.000 -0300,8.88591,1367.2644,27.499996
101,2035-08-01 20:00:00.000 -0300,9.337277,1462.9822,27.338984
101,2035-08-01 20:10:00.000 -0300,10.007273,1684.4742,26.739298
101,2035-08-01 20:20:00.000 -0300,10.320537,1776.3617,26.38531
101,2035-08-01 20:30:00.000 -0300,10.039097,1679.7476,26.20005
101,2035-08-01 20:40:00.000 -0300,10.441253,1807.6213,26.060783
101,2035-08-01 20:50:00.000 -0300,10.607604,1856.2292,25.918627
101,2035-08-01 21:00:00.000 -0300,10.940713,2040.8291,25.987247
101,2035-08-01 21:10:00.000 -0300,11.290725,2169.5027,26.386251
101,2035-08-01 21:20:00.000 -0300,11.447007,2168.3542,26.614246
101,2035-08-01 21:30:00.000 -0300,12.524732,2388.2026,26.600822
101,2035-08-01 21:40:00.000 -0300,12.801028,2394.5322,26.597742
101,2035-08-01 21:50:00.000 -0300,12.210784,2219.4849,26.11509
101,2035-08-01 22:00:00.000 -0300,12.958445,2300.1763,25.546257
